property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
גג/ פנטהאוז,כרם התימנים,עזרא הסופר 15,3.0,6,100,,0,12,,,6,"ללא תיווך ישירות מהבעלים ברחוב עזרא הסופר 15 דירת פנטהאוז כיפית בבניין בוטיק. דירה יחידה בקומה, 3 חדרים, משקיפה לים 360 של נוף פתוח. 2 מרפסות שמש ומרפסת שירות. מטבח יפה ונוח. ויש גם חניה בבניין. הדירה נמצאת ברחוב שקט ובמרחק מספר צעדים מחוף הים, ליד שוק הכרמל התוסס, כרם התימנים, סמטאות יפו העתיקה, שוק הפשפשים ונווה צדק עם כל המסעדות ובתי הקפה המדליקים. יש קודן בכניסה לבניין",0,0,1,1,0,0,0,1,0,0,12000.0,10,1752.0
דירת גן,כרם התימנים,"האר""י 28",4.0,1,146,45,,12,400,450,4,"גאולה/כרם התימנים, דירת דופלקס מסוגננת ומעוצבת. סה""כ 146 מ""ר.
קומה עליונה: שני חדרי שינה + ממ""ד + 2 מקלחות + 1 שירותים.
קומה תחתונה:  חדר שינה/עבודה + מקלחת/שירותים.
דק מגודר מקדימה (20 מ""ר) + חצר אחורית פרטית פתוחה (25 מ""ר). 
קרוב לים, קרוב לאיזורי קניות ובילויים",1,0,1,1,0,0,1,1,0,0,17000.0,10,1692.0
גג/ פנטהאוז,כרם התימנים,כרם התימנים 6,4.0,3,125,,,6,400,450,3,"דירת דופלקס יוקרתית עם מרפסת שמש ענקית תריסים חשמליים דוד שמש   נוף חלקי לים שקטה 4.5 חדרים כולל ממד מאסטר להורים עם מקלחת ובנוסף חדר מקלחת נוסף 
מעלית במיקום הכי טוב בכרם התימנים 
ועד בית 450 שקל ו ארנונה 400 
חניה מקורה בתוספת תשלום של 1000 שקל
מתווכים לא להתקשר הודעות בוואטפ בלבד אני תושב חוץ תודה",1,0,1,1,0,0,1,1,1,1,15000.0,0,1754.0
דירה,כפיר,הרב אלנקווה 16,3.0,5,70,,0,12,500,150,7,דירה שקטה ומקסימה באזור מרכזי במצב טוב.,1,0,1,1,0,1,0,0,0,0,4500.0,4,5486.0
דירה,כפיר,הרב אלנקווה 16,3.5,7,72,,0,12,450,150,7,"דירה בת 3 חדרים פלוס חצי חדר עבודה פלוס מרפסת כביסה וחדר רחצה. משופצת במלואה, חשמל חדש, אינסטלציה חדשה, מטבח מחודש, חדר רחצה מחודש, חלונות, סורגים, מזגן בכל חדר. דירה יפה. נוף לתל אביב. גישה נוחה לנתיבי תחבורה ציבוריים ולתחבורה פרטית. גישה נוחה למרכזים מסחריים. נוף יפה. דירה שקטה. לא בשבת.",0,0,0,0,0,0,0,1,0,0,5300.0,10,5486.0
דירה,תל כביר,דקל 10,3.0,1,50,,0,12,200,50,4,"שלושה חדרים, קומה ראשונה, מסודרת, שופצה לאחרונה.",0,0,0,1,0,1,0,0,1,1,4500.0,0,6538.0
דירה,כרם התימנים,גאולה 12,3.0,3,87,10,,12,225,200,3,"דירה מעוצבת אדריכלית ומושקעת מאוד. חימום תת רצפתי, חימום מים על גז 24/7. ארונות קיר בחדרים, מזגני אלקטרה מיני מרכזיים ומאווררי תקרה של סטאר. יש אפשרות לריהוט מלא/חלקי.",1,0,0,1,0,0,0,1,1,1,13800.0,0,1524.0
דירה,כרם התימנים,הכובשים 12,4.0,5,100,14,0,12,800,400,7,דירה מקסימה מס דקות מחוף הים באיזור  הכי חם ליד כרם התימנים דירה מהחברה לניהול הנכס תיווך,0,0,0,0,0,0,0,1,0,0,17500.0,0,1475.0
דירה,כרם התימנים,אלשיך,4.0,1,145,,,12,,750,3,"להשכרה בבניין בוטיק חדש ומודרני.
דירה מרשימה במיוחד עם חללים גדולים ו3 כיווני אוויר.
מיקום מעולה בלב השכונה,נוף פתוח,שקט והמון אופי",1,0,1,1,1,0,1,1,1,1,20000.0,0,1862.0
דירה,כרם התימנים,הירקון 6,3.0,2,60,,0,12,450,200,5,"ברחוב הירקון, מול מלון הילטון
מיקום מעולה 
דירת גג משופצת הדירה בקומה הרביעית (ללא מעלית), בגודל של כ-60 מ""ר.
וכוללת מרפסת גג מפוארת עם נוף לים. הדירה מוארת ויפה.
עם חיבור למכונת כביסה ואפשרות לתו חניה.
מתאימה לשני שותפים.
כניסה ב-1/8.
ישנה אפשרות לרכישת ריהוט קיים.",0,0,0,1,0,0,0,1,0,1,8500.0,0,1933.0
